
2017.09.23 16.31.59 "[i1] acceptProposal(p1): Banana $1.01"
2017.09.23 16.31.59 "[i2] rejectProposal(p2): Apple $3.66"
2017.09.23 16.31.59 "[i1] acceptProposal(p1): Pineapple $3.02"
2017.09.23 16.31.59 "[i2] rejectProposal(p2): Banana $2.76"
2017.09.23 16.31.59 "[i1] acceptProposal(p1): Apple $3.39"
2017.09.23 16.31.59 "[i2] rejectProposal(p2): Apple $3.66"
2017.09.23 16.31.59 "[i1] rejectProposal(p2): Pineapple $4.24"
2017.09.23 16.31.59 "[i2] rejectProposal(p2): Banana $2.76"
2017.09.23 16.31.59 "[i2] rejectProposal(p2): Pineapple $2.80"
2017.09.23 16.31.59 "[i2] rejectProposal(p2): Apple $3.66"
2017.09.23 16.31.59 "[i2] rejectProposal(p2): Banana $2.76"
2017.09.23 16.31.59 "[i1] rejectProposal(p2): Apple $3.84"
2017.09.23 16.31.59 "[i2] rejectProposal(p2): Pineapple $2.80"
2017.09.23 16.31.59 "[i2] rejectProposal(p2): Pineapple $2.80"
2017.09.23 16.31.59 "[i1] rejectProposal(p2): Pineapple $4.24"
2017.09.23 16.31.59 "[i1] rejectProposal(p2): Banana $2.19"
2017.09.23 16.31.59 "[i1] rejectProposal(p2): Pineapple $4.24"
2017.09.23 16.32.56 "[i1] Asked for: Banana"
2017.09.23 16.32.56 "[i2] Asked for: Banana"
2017.09.23 16.32.56 "[i1] Refuse(r): 'Banana'"
2017.09.23 16.32.56 "[i1] Asked for: Apple"
2017.09.23 16.32.56 "[i1] Received(p2): 'Banana' $2.11"
2017.09.23 16.32.56 "[i1] Received(p1): 'Banana' $1.03"
2017.09.23 16.32.56 "[i1] Asked for: Guava"
2017.09.23 16.32.56 "[i1] Refuse(r): 'Apple'"
2017.09.23 16.32.56 "[i1] Received(p1): 'Apple' $2.09"
2017.09.23 16.32.56 "[i2] Refuse(r): 'Banana'"
2017.09.23 16.32.56 "[i2] Asked for: Apple"
2017.09.23 16.32.56 "[i2] Received(p2): 'Banana' $1.08"
2017.09.23 16.32.56 "[i1] Refuse(r): 'Guava'"
2017.09.23 16.32.56 "[i2] Received(p1): 'Banana' $2.15"
2017.09.23 16.32.56 "[i1] Refuse(p1): 'Guava'"
2017.09.23 16.32.56 "[i2] Asked for: Guava"
2017.09.23 16.32.56 "[i1] Received(p2): 'Apple' $3.48"
2017.09.23 16.32.56 "[i1] Asked for: Pineapple"
2017.09.23 16.32.56 "[i2] Refuse(r): 'Apple'"
2017.09.23 16.32.56 "[i1] Refuse(p2): 'Guava'"
2017.09.23 16.32.56 "[i2] Received(p2): 'Apple' $3.12"
2017.09.23 16.32.56 "[i2] Asked for: Pineapple"
2017.09.23 16.32.56 "[i2] Received(p1): 'Apple' $2.49"
2017.09.23 16.32.56 "[i2] Refuse(r): 'Guava'"
2017.09.23 16.32.56 "[i2] Refuse(p2): 'Guava'"
2017.09.23 16.32.56 "[i1] Received(p2): 'Pineapple' $3.55"
2017.09.23 16.32.56 "[i2] Refuse(p1): 'Guava'"
2017.09.23 16.32.56 "[i1] Received(p1): 'Pineapple' $2.65"
2017.09.23 16.32.56 "[i2] Received(p1): 'Pineapple' $2.61"
2017.09.23 16.32.56 "[i2] Refuse(r): 'Pineapple'"
2017.09.23 16.32.56 "[i2] acceptProposal(p2): Banana $1.08"
2017.09.23 16.32.56 "[i2] Received(p2): 'Pineapple' $4.17"
2017.09.23 16.32.56 "[i1] Refuse(r): 'Pineapple'"
2017.09.23 16.32.56 "[i1] acceptProposal(p1): Banana $1.03"
2017.09.23 16.32.56 "[i2] acceptProposal(p2): Banana $1.08"
2017.09.23 16.32.56 "[i1] acceptProposal(p1): Banana $1.03"
2017.09.23 16.32.56 "[i1] acceptProposal(p1): Banana $1.03"
2017.09.23 16.32.56 "[i1] acceptProposal(p1): Apple $2.09"
2017.09.23 16.32.56 "[i2] acceptProposal(p2): Banana $1.08"
2017.09.23 16.32.56 "[i1] acceptProposal(p1): Apple $2.09"
2017.09.23 16.32.56 "[i1] acceptProposal(p1): Banana $1.03"
2017.09.23 16.32.56 "[i1] acceptProposal(p1): Apple $2.09"
2017.09.23 16.32.56 "[i2] acceptProposal(p1): Apple $2.49"
2017.09.23 16.32.56 "[i1] acceptProposal(p1): Pineapple $2.65"
2017.09.23 16.32.56 "[i1] acceptProposal(p1): Pineapple $2.65"
2017.09.23 16.32.56 "[i1] rejectProposal(p2): Banana $2.11"
2017.09.23 16.32.56 "[i2] acceptProposal(p2): Banana $1.08"
2017.09.23 16.32.56 "[i2] acceptProposal(p1): Apple $2.49"
2017.09.23 16.32.56 "[i1] rejectProposal(p2): Pineapple $3.55"
2017.09.23 16.32.56 "[i2] rejectProposal(p2): Apple $3.12"
2017.09.23 16.32.56 "[i1] rejectProposal(p2): Banana $2.11"
2017.09.23 16.32.56 "[i2] rejectProposal(p1): Banana $2.15"
2017.09.23 16.32.56 "[i1] rejectProposal(p2): Apple $3.48"
2017.09.23 16.32.56 "[i2] rejectProposal(p2): Pineapple $4.17"
